file,x1,y1,x2,y2,class,kpx1,kpy1,kpx2,kpy2,kpx3,kpy3,kpx4,kpy4,kpx5,kpy5,kpx6,kpy6,kpx7,kpy7,kpx8,kpy8,kpx9,kpy9,kpx10,kpy10,kpx11,kpy11,kpx12,kpy12,kpx13,kpy13,kpx14,kpy14,kpx15,kpy15,kpx16,kpy16,kpx17,kpy17,kpx18,kpy18,kpx19,kpy19,kpx20,kpy20,kpx21,kpy21
../data/I/004281.jpg,57,443,80,481,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../data/II/009054.jpg,202,294,418,510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../data/I/000471.jpg,43,206,207,330,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../data/II/007145.jpg,111.0,191.0,147.0,227.0,1.0,7.862449646000002,8.28533935547,11.21890258789,7.6826171875,14.88087463379,8.246597290039972,20.01324462891,8.154678344730002,23.46174621582,7.436492919919999,27.02880859375,8.093521118160027,9.393173217769998,11.527359008789972,14.333885192869985,11.636962890630002,20.3229675293,11.4151763916,25.17463684082,11.10250854492,14.31561996779,18.162640901769976,18.204508856680008,19.458937198070004,21.52979066023002,18.33172302737998,17.81159420290001,21.28180354266999,17.603864734300004,22.805152979069987,17.74235104670001,24.39774557166001,11.976860046390001,11.229263305660027,22.56922912598,10.889556884770002,18.204508856680008,17.20450885667998,11.671150207519986,23.1141204834,23.797101449280007,23.47342995168998
../data/II/009711.jpg,260,209,325,271,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../data/I/000214.jpg,192.0,145.0,229.0,181.0,1.0,8.028985507249985,8.768115942030022,11.391304347830015,8.246376811589982,15.44927536231998,9.115942028989991,20.14492753623,9.0,23.33333333332999,7.260869565219991,26.927536231879998,7.550724637679991,9.826086956520015,12.71014492754,14.347826086959998,12.594202898550009,21.768115942029993,11.608695652169985,26.637681159420026,11.49275362318997,14.985507246379996,18.913043478259993,19.565217391300024,19.49275362318997,22.69565217391002,18.10144927536001,19.681159420289987,21.521739130430007,19.85507246377,23.608695652169985,20.086956521740007,25.869565217389976,12.086956521740007,12.536231884060015,24.202898550719993,11.666666666670011,19.623188405800022,17.11594202898999,14.985507246379996,24.478260869569993,23.275362318839996,23.49275362318997
../data/I/003011.jpg,116,292,259,370,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../data/II/007661.jpg,385,565,418,606,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../data/I/003790.jpg,263,455,417,601,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../data/II/007935.jpg,121,387,240,539,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
